# Метеостанция Астана, Казахстан, WMO_ID=35188, выборка с 01.06.2018 по 31.08.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Астане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.07.2018 14:00";"28.8";"725.0";"754.0";"-1.1";"38";"Ветер, дующий с востоко-северо-востока";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.1";"";"";"";"";"";"";
"21.07.2018 11:00";"27.1";"726.1";"755.2";"0.1";"45";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"21.8";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"";"10.0";"14.2";"Следы осадков";"12";"";"";"";"";
"21.07.2018 08:00";"22.3";"726.0";"755.6";"-0.2";"58";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"13.6";"Следы осадков";"12";"Поверхность почвы влажная.";"19.0";"";"";
"21.07.2018 05:00";"22.6";"726.2";"755.8";"-0.1";"56";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.4";"";"";"";"";"";"";
"21.07.2018 02:00";"23.0";"726.3";"755.8";"-0.3";"54";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"13.2";"";"";"";"";"";"";
"20.07.2018 23:00";"25.5";"726.6";"755.9";"-0.4";"42";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"33.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"11.7";"";"";"";"";"";"";
"20.07.2018 20:00";"27.5";"727.0";"756.2";"-0.4";"37";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"33.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"11.5";"";"";"";"";"";"";
"20.07.2018 17:00";"30.3";"727.4";"756.4";"-0.1";"29";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"10.3";"";"";"";"";"";"";
"20.07.2018 14:00";"31.3";"727.5";"756.3";"-0.8";"26";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"9.5";"";"";"";"";"";"";
"20.07.2018 11:00";"29.3";"728.3";"757.3";"-0.5";"33";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"20.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.3";"Следы осадков";"12";"";"";"";"";
"20.07.2018 08:00";"22.5";"728.8";"758.5";"0.1";"49";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.3";"Следы осадков";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"17.0";"";"";
"20.07.2018 05:00";"20.9";"728.7";"758.6";"0.2";"56";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.8";"";"";"";"";"";"";
"20.07.2018 02:00";"21.1";"728.5";"758.4";"-0.4";"53";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"11.2";"";"";"";"";"";"";
"19.07.2018 23:00";"23.7";"728.9";"758.5";"-0.6";"43";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"30.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"10.4";"";"";"";"";"";"";
"19.07.2018 20:00";"27.0";"729.5";"758.8";"0.0";"34";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"30.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"9.8";"";"";"";"";"";"";
"19.07.2018 17:00";"28.7";"729.5";"758.7";"-0.3";"28";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"8.4";"";"";"";"";"";"";
"19.07.2018 14:00";"29.1";"729.8";"759.0";"-0.8";"28";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"10.0";"8.8";"";"";"";"";"";"";
"19.07.2018 11:00";"28.5";"730.6";"759.9";"-0.3";"30";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"15.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"9.3";"";"";"";"";"";"";
"19.07.2018 08:00";"24.4";"730.9";"760.6";"0.4";"41";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"10.3";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"19.07.2018 05:00";"16.9";"730.5";"760.9";"0.3";"74";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"19.07.2018 02:00";"18.1";"730.2";"760.4";"-0.1";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"18.07.2018 23:00";"21.5";"730.3";"760.3";"0.0";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"29.6";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"18.07.2018 20:00";"27.0";"730.3";"759.7";"-0.2";"32";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"29.6";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"18.07.2018 17:00";"28.7";"730.5";"759.7";"-0.2";"32";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.4";"";"";"";"";"";"";
"18.07.2018 14:00";"28.2";"730.7";"760.0";"-0.5";"32";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.0";"";"";"";"";"";"";
"18.07.2018 11:00";"26.9";"731.2";"760.6";"-0.1";"33";"Ветер, дующий с юго-юго-востока";"1";"";"";"20–30%.";" ";"";"";"15.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"9.3";"";"";"";"";"";"";
"18.07.2018 08:00";"23.1";"731.3";"761.1";"0.6";"47";"Ветер, дующий с востоко-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.2";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"18.07.2018 05:00";"15.5";"730.7";"761.3";"0.4";"67";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"18.07.2018 02:00";"17.5";"730.3";"760.6";"0.4";"58";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"17.07.2018 23:00";"20.3";"729.9";"759.9";"0.6";"50";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"28.3";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"17.07.2018 20:00";"25.3";"729.3";"758.8";"0.6";"35";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"17.07.2018 17:00";"27.6";"728.7";"757.9";"-0.1";"30";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"17.07.2018 14:00";"27.7";"728.8";"758.1";"-0.4";"28";"Ветер, дующий с северо-северо-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.6";"";"";"";"";"";"";
"17.07.2018 11:00";"25.1";"729.2";"758.7";"-0.2";"36";"Ветер, дующий с востоко-северо-востока";"4";"";"";"Облаков нет.";" ";"";"";"14.7";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"17.07.2018 08:00";"20.3";"729.4";"759.4";"0.7";"57";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.5";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"17.07.2018 05:00";"14.7";"728.7";"759.2";"0.8";"74";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"17.07.2018 02:00";"16.4";"727.9";"758.3";"0.2";"64";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"16.07.2018 23:00";"19.9";"727.7";"757.7";"1.1";"54";"Ветер, дующий с северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"28.3";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"16.07.2018 20:00";"24.8";"726.6";"756.0";"1.1";"49";"Ветер, дующий с северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"28.3";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.4";"";"";"";"";"";"";
"16.07.2018 17:00";"27.6";"725.5";"754.6";"-0.1";"46";"Ветер, дующий с северо-востока";"4";"";"";"20–30%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.0";"";"";"";"";"";"";
"16.07.2018 14:00";"26.0";"725.6";"754.8";"-0.1";"51";"Ветер, дующий с востоко-северо-востока";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.1";"";"";"";"";"";"";
"16.07.2018 11:00";"24.7";"725.7";"755.0";"0.0";"53";"Ветер, дующий с северо-востока";"5";"";"";"70 – 80%.";" ";"";"";"16.5";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.5";"";"";"";"";"";"";
"16.07.2018 08:00";"20.0";"725.7";"755.5";"0.7";"66";"Ветер, дующий с северо-востока";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.5";"";"";"Поверхность почвы влажная.";"15.0";"";"";
"16.07.2018 05:00";"16.8";"725.0";"755.2";"0.8";"87";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.6";"";"";"";"";"";"";
"16.07.2018 02:00";"17.6";"724.2";"754.2";"-0.1";"92";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"16.3";"";"";"";"";"";"";
"15.07.2018 23:00";"19.2";"724.3";"754.1";"0.7";"83";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"26.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"16.2";"Следы осадков";"12";"";"";"";"";
"15.07.2018 20:00";"21.6";"723.6";"753.1";"0.2";"74";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"26.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"16.8";"Следы осадков";"12";"";"";"";"";
"15.07.2018 17:00";"21.6";"723.4";"753.0";"0.7";"65";"Ветер, дующий с северо-востока";"4";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"14.7";"";"";"";"";"";"";
"15.07.2018 14:00";"23.6";"722.7";"752.0";"0.0";"56";"Ветер, дующий с северо-востока";"4";"";"";"100%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"14.3";"";"";"";"";"";"";
"15.07.2018 11:00";"25.5";"722.7";"751.9";"0.0";"51";"Ветер, дующий с востоко-северо-востока";"3";"";"";"60%.";" ";"";"";"16.2";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"14.6";"";"";"";"";"";"";
"15.07.2018 08:00";"21.7";"722.7";"752.2";"1.0";"71";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"16.2";"";"";"Поверхность почвы влажная.";"15.0";"";"";
"15.07.2018 05:00";"16.8";"721.7";"751.7";"0.4";"88";"Ветер, дующий с востоко-северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.8";"";"";"";"";"";"";
"15.07.2018 02:00";"17.1";"721.3";"751.2";"-0.3";"93";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"14.07.2018 23:00";"18.8";"721.6";"751.3";"0.3";"82";"Ветер, дующий с северо-востока";"2";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"28.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"15.7";"10.0";"12";"";"";"";"";
"14.07.2018 20:00";"22.2";"721.3";"750.7";"0.0";"70";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"28.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"16.5";"10.0";"12";"";"";"";"";
"14.07.2018 17:00";"24.2";"721.3";"750.5";"0.6";"58";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.4";"";"";"";"";"";"";
"14.07.2018 14:00";"24.6";"720.7";"749.8";"-0.4";"54";"Ветер, дующий с северо-востока";"2";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.7";"";"";"";"";"";"";
"14.07.2018 11:00";"27.1";"721.1";"750.1";"0.2";"46";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"15.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"14.5";"";"";"";"";"";"";
"14.07.2018 08:00";"23.1";"720.9";"750.2";"0.3";"62";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"15.4";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"14.07.2018 05:00";"15.9";"720.6";"750.6";"0.1";"94";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.9";"";"";"";"";"";"";
"14.07.2018 02:00";"17.0";"720.5";"750.4";"-0.4";"86";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"14.6";"";"";"";"";"";"";
